a 0101
b 011111
c 11111
d 01001
e 101
f 001100
g 011110
h 1110
i 1001
j 0011110111
k 00111100
l 01000
m 001101
n 1000
o 0110
p 011101
q 0011110110
r 1101
s 1100
t 0010
u 11110
v 0011111
w 001110
x 0011110101
y 011100
z 0011110100
  000
